File;Trips_Satisfied
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_1.0_EV-FACTOR_35_EV_2_FLEX_1000_TPS.txt;150
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_1.0_EV-FACTOR_35_EV_50_FLEX_1000_TPS.txt;271
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_1.5_EV-FACTOR_16_EV_10_FLEX_300_TPS.txt;54
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_1.5_EV-FACTOR_16_EV_25_FLEX_300_TPS.txt;79
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_1.5_EV-FACTOR_16_EV_2_FLEX_300_TPS.txt;89
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_1.5_EV-FACTOR_16_EV_50_FLEX_300_TPS.txt;92
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_1.5_EV-FACTOR_529_EV_10_FLEX_10000_TPS.txt;5284
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_1.5_EV-FACTOR_529_EV_25_FLEX_10000_TPS.txt;6535
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_1.5_EV-FACTOR_529_EV_2_FLEX_10000_TPS.txt;3832
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_1.5_EV-FACTOR_529_EV_50_FLEX_10000_TPS.txt;8217
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_1.5_EV-FACTOR_53_EV_10_FLEX_1000_TPS.txt;281
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_1.5_EV-FACTOR_53_EV_25_FLEX_1000_TPS.txt;312
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_1.5_EV-FACTOR_53_EV_2_FLEX_1000_TPS.txt;222
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_1.5_EV-FACTOR_53_EV_50_FLEX_1000_TPS.txt;364
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_2.0_EV-FACTOR_22_EV_10_FLEX_300_TPS.txt;59
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_2.0_EV-FACTOR_22_EV_25_FLEX_300_TPS.txt;66
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_2.0_EV-FACTOR_22_EV_2_FLEX_300_TPS.txt;93
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_2.0_EV-FACTOR_22_EV_50_FLEX_300_TPS.txt;85
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_2.0_EV-FACTOR_706_EV_10_FLEX_10000_TPS.txt;6118
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_2.0_EV-FACTOR_706_EV_25_FLEX_10000_TPS.txt;8086
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_2.0_EV-FACTOR_706_EV_2_FLEX_10000_TPS.txt;4726
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_2.0_EV-FACTOR_706_EV_50_FLEX_10000_TPS.txt;9535
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_2.0_EV-FACTOR_71_EV_10_FLEX_1000_TPS.txt;347
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_2.0_EV-FACTOR_71_EV_25_FLEX_1000_TPS.txt;421
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_2.0_EV-FACTOR_71_EV_2_FLEX_1000_TPS.txt;290
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_2.0_EV-FACTOR_71_EV_50_FLEX_1000_TPS.txt;483
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.0_EV-FACTOR_11_EV_10_FLEX_300_TPS.txt;66
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.0_EV-FACTOR_11_EV_25_FLEX_300_TPS.txt;89
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.0_EV-FACTOR_11_EV_2_FLEX_300_TPS.txt;49
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.0_EV-FACTOR_11_EV_50_FLEX_300_TPS.txt;85
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.0_EV-FACTOR_353_EV_10_FLEX_10000_TPS.txt;3673
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.0_EV-FACTOR_353_EV_25_FLEX_10000_TPS.txt;4679
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.0_EV-FACTOR_353_EV_2_FLEX_10000_TPS.txt;2792
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.0_EV-FACTOR_353_EV_50_FLEX_10000_TPS.txt;5909
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.0_EV-FACTOR_35_EV_10_FLEX_1000_TPS.txt;203
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.0_EV-FACTOR_35_EV_25_FLEX_1000_TPS.txt;209
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.0_EV-FACTOR_35_EV_2_FLEX_1000_TPS.txt;163
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.0_EV-FACTOR_35_EV_50_FLEX_1000_TPS.txt;276
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.5_EV-FACTOR_16_EV_10_FLEX_300_TPS.txt;77
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.5_EV-FACTOR_16_EV_25_FLEX_300_TPS.txt;87
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.5_EV-FACTOR_16_EV_2_FLEX_300_TPS.txt;46
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.5_EV-FACTOR_16_EV_50_FLEX_300_TPS.txt;75
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.5_EV-FACTOR_529_EV_10_FLEX_10000_TPS.txt;5125
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.5_EV-FACTOR_529_EV_25_FLEX_10000_TPS.txt;6687
