File;Trips_Satisfied
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_1.0_EV-FACTOR_36_EV_2_FLEX_1000_TPS.txt;157
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_1.0_EV-FACTOR_36_EV_50_FLEX_1000_TPS.txt;155
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_1.5_EV-FACTOR_16_EV_10_FLEX_300_TPS.txt;64
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_1.5_EV-FACTOR_16_EV_25_FLEX_300_TPS.txt;58
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_1.5_EV-FACTOR_16_EV_2_FLEX_300_TPS.txt;87
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_1.5_EV-FACTOR_16_EV_50_FLEX_300_TPS.txt;61
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_1.5_EV-FACTOR_538_EV_10_FLEX_10000_TPS.txt;3214
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_1.5_EV-FACTOR_538_EV_25_FLEX_10000_TPS.txt;3374
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_1.5_EV-FACTOR_538_EV_2_FLEX_10000_TPS.txt;2975
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_1.5_EV-FACTOR_538_EV_50_FLEX_10000_TPS.txt;3335
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_1.5_EV-FACTOR_54_EV_10_FLEX_1000_TPS.txt;241
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_1.5_EV-FACTOR_54_EV_25_FLEX_1000_TPS.txt;233
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_1.5_EV-FACTOR_54_EV_2_FLEX_1000_TPS.txt;229
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_1.5_EV-FACTOR_54_EV_50_FLEX_1000_TPS.txt;237
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_2.0_EV-FACTOR_22_EV_10_FLEX_300_TPS.txt;66
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_2.0_EV-FACTOR_22_EV_25_FLEX_300_TPS.txt;65
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_2.0_EV-FACTOR_22_EV_2_FLEX_300_TPS.txt;88
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_2.0_EV-FACTOR_22_EV_50_FLEX_300_TPS.txt;64
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_2.0_EV-FACTOR_717_EV_10_FLEX_10000_TPS.txt;4168
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_2.0_EV-FACTOR_717_EV_25_FLEX_10000_TPS.txt;4286
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_2.0_EV-FACTOR_717_EV_2_FLEX_10000_TPS.txt;3817
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_2.0_EV-FACTOR_717_EV_50_FLEX_10000_TPS.txt;4575
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_2.0_EV-FACTOR_72_EV_10_FLEX_1000_TPS.txt;301
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_2.0_EV-FACTOR_72_EV_25_FLEX_1000_TPS.txt;297
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_2.0_EV-FACTOR_72_EV_2_FLEX_1000_TPS.txt;289
./instance_generator/instances/SPREAD_16_SEC_1.0_ENERGY_2.0_EV-FACTOR_72_EV_50_FLEX_1000_TPS.txt;306
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.0_EV-FACTOR_11_EV_10_FLEX_300_TPS.txt;60
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.0_EV-FACTOR_11_EV_25_FLEX_300_TPS.txt;73
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.0_EV-FACTOR_11_EV_2_FLEX_300_TPS.txt;49
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.0_EV-FACTOR_11_EV_50_FLEX_300_TPS.txt;65
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.0_EV-FACTOR_358_EV_10_FLEX_10000_TPS.txt;2213
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.0_EV-FACTOR_358_EV_25_FLEX_10000_TPS.txt;2327
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.0_EV-FACTOR_358_EV_2_FLEX_10000_TPS.txt;2174
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.0_EV-FACTOR_358_EV_50_FLEX_10000_TPS.txt;2362
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.0_EV-FACTOR_36_EV_10_FLEX_1000_TPS.txt;164
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.0_EV-FACTOR_36_EV_25_FLEX_1000_TPS.txt;145
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.0_EV-FACTOR_36_EV_2_FLEX_1000_TPS.txt;169
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.0_EV-FACTOR_36_EV_50_FLEX_1000_TPS.txt;156
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.5_EV-FACTOR_16_EV_10_FLEX_300_TPS.txt;59
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.5_EV-FACTOR_16_EV_25_FLEX_300_TPS.txt;75
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.5_EV-FACTOR_16_EV_2_FLEX_300_TPS.txt;39
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.5_EV-FACTOR_16_EV_50_FLEX_300_TPS.txt;72
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.5_EV-FACTOR_538_EV_10_FLEX_10000_TPS.txt;3264
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.5_EV-FACTOR_538_EV_25_FLEX_10000_TPS.txt;3564
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.5_EV-FACTOR_538_EV_2_FLEX_10000_TPS.txt;3037
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.5_EV-FACTOR_538_EV_50_FLEX_10000_TPS.txt;3507
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.5_EV-FACTOR_54_EV_10_FLEX_1000_TPS.txt;239
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.5_EV-FACTOR_54_EV_25_FLEX_1000_TPS.txt;239
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.5_EV-FACTOR_54_EV_2_FLEX_1000_TPS.txt;255
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_1.5_EV-FACTOR_54_EV_50_FLEX_1000_TPS.txt;221
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_2.0_EV-FACTOR_22_EV_10_FLEX_300_TPS.txt;58
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_2.0_EV-FACTOR_22_EV_25_FLEX_300_TPS.txt;70
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_2.0_EV-FACTOR_22_EV_2_FLEX_300_TPS.txt;42
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_2.0_EV-FACTOR_22_EV_50_FLEX_300_TPS.txt;64
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_2.0_EV-FACTOR_717_EV_10_FLEX_10000_TPS.txt;4217
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_2.0_EV-FACTOR_717_EV_25_FLEX_10000_TPS.txt;4409
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_2.0_EV-FACTOR_717_EV_2_FLEX_10000_TPS.txt;3911
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_2.0_EV-FACTOR_717_EV_50_FLEX_10000_TPS.txt;4595
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_2.0_EV-FACTOR_72_EV_10_FLEX_1000_TPS.txt;292
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_2.0_EV-FACTOR_72_EV_25_FLEX_1000_TPS.txt;314
./instance_generator/instances/SPREAD_16_SEC_2.0_ENERGY_2.0_EV-FACTOR_72_EV_2_FLEX_1000_TPS.txt;299
